Timestamp,Camelina01 - Weight (g),Camelina02 - Weight (g),Camelina03 - Weight (g),Camelina04 - Weight (g),Camelina05 - Weight (g),Camelina06 - Weight (g),Camelina07 - Weight (g),Camelina08 - Weight (g),Camelina09 - Weight (g),Camelina10 - Weight (g),Camelina11 - Weight (g),Camelina12 - Weight (g),Camelina13 - Weight (g),Camelina14 - Weight (g),Camelina15 - Weight (g),Camelina16 - Weight (g),Camelina17 - Weight (g),Camelina18 - Weight (g),Camelina19 - Weight (g),Camelina20 - Weight (g),Camelina21 - Weight (g),Camelina22 - Weight (g),Camelina23 - Weight (g),Camelina24 - Weight (g),Camelina25 - Weight (g),Camelina26 - Weight (g),Camelina27 - Weight (g),Camelina28 - Weight (g),Camelina29 - Weight (g),Camelina30 - Weight (g),Camelina31 - Weight (g),Camelina32 - Weight (g),Camelina33 - Weight (g),Camelina34 - Weight (g),Camelina35 - Weight (g),Camelina36 - Weight (g),Camelina37 - Weight (g),Camelina38 - Weight (g),Camelina39 - Weight (g),Camelina40 - Weight (g),Camelina41 - Weight (g),Camelina42 - Weight (g),Camelina43 - Weight (g),Camelina44 - Weight (g),Camelina45 - Weight (g),Camelina46 - Weight (g),Camelina47 - Weight (g),Camelina48 - Weight (g),Camelina49 - Weight (g),Camelina50 - Weight (g)
2025-04-10T00:30:00,6862.87,6969.06,6784.96,6776.05,7007.8,6936.77,7060.64,6943.83,6982.61,6789.21,7001.55,6701.01,6827.96,6849.61,6977.06,6966.31,6785.69,6922.05,6780.7,6756.53,6862.4,6755.35,6868.88,6808.58,6962.96,6820.56,6816.88,7013.22,7025.29,6870.91,6961.77,7117.15,7120.19,6959.18,6975.72,6715.26,6964.21,6960.3,6858.48,7031.85,6954.49,6911.52,6667.65,6956.29,6668.3,6857.87,7050.62,6881.65,6961.95,6995.87
2025-04-10T00:33:00,6911.43,7016.04,6839.55,6829.3,7049.69,6990.03,7124.79,6995.67,7038.95,6843.8,7062.32,6770.2,6872.71,6903.87,7033.89,7019.91,6836.85,6971.23,6839.32,6806.61,6923.38,6793.84,6905.6,6868.72,7009.98,6871.01,6859.98,7078.21,7074.69,6913.98,7012.87,7169.65,7169.34,7005.37,7035.1,6768.34,7001.12,7026.27,6913.69,7080.08,7010.16,6981.12,6714.86,7009.65,6723.41,6894.08,7098.88,6929.35,7014.42,7046.09
2025-04-10T00:36:00,6873.6,6987.6,6805.96,6796.22,7016.37,6956.27,7079.25,6964.26,6998.7,6801.35,7019.4,6728.26,6836.61,6860.81,6994.06,6985.53,6805.07,6937.09,6800.13,6777.23,6881.55,6767.93,6880.23,6832.79,6974.41,6831.97,6826.72,7035.69,7041.37,6883.94,6977.46,7133.42,7127.44,6972.35,6994.18,6738.14,6974.78,6977.08,6874.59,7052.33,6979.6,6931.99,6680.96,6977.28,6685.19,6865.42,7065.36,6893.38,6983.22,7008.6
2025-04-10T00:39:00,6868.27,6986.48,6804.56,6790.18,7014.53,6951.87,7072.12,6955.84,6992.07,6799.11,7012.62,6726.04,6835.46,6859.35,6990.58,6980.66,6803.15,6933.98,6798.23,6771.42,6875.8,6766.36,6877.01,6825.43,6970.85,6828.6,6824.2,7031.55,7037.98,6880.25,6972,7130.82,7128.47,6972.58,6988.94,6731.88,6969.19,6973.65,6871.98,7045.49,6974.37,6929.72,6679.96,6971.4,6681.04,6862.19,7058.92,6891.39,6978.44,7006.87
2025-04-10T00:42:00,6865.78,6982.48,6806.76,6786.7,7012.74,6949.76,7068.33,6953.8,6989.57,6797.26,7011.9,6723.12,6835.23,6854.6,6988.84,6978.02,6801.16,6932.04,6794.49,6768.75,6874.72,6764.21,6876.31,6823.3,6969.13,6826.89,6821.04,7028.6,7036.65,6878.11,6971.98,7126.76,7128.18,6969.42,6985.84,6730.61,6968.1,6972.3,6869.36,7044.39,6971.06,6929.1,6678.64,6970.59,6678.54,6862.28,7057.25,6891.22,6976.41,7005.49
2025-04-10T00:45:00,6863.92,6978.31,6802.48,6784.78,7014.96,6948.4,7065.17,6950.75,6987.93,6796.4,7011.72,6721.62,6834.6,6854.94,6988.34,6976.83,6799.19,6931.21,6791.07,6765.37,6875.27,6763.11,6874.71,6820.77,6968.26,6826.04,6819.82,7027.14,7035.27,6877.42,6971.58,7127.8,7128.06,6967.9,6984.28,6729.3,6966.24,6970.01,6865.47,7044.86,6968.38,6926.79,6676.26,6971.59,6676.13,6862.28,7056.62,6891.36,6974.84,7005.88
2025-04-10T00:48:00,6863.29,6975.84,6801.63,6782.6,7014.22,6947.17,7063.9,6950.22,6990.28,6796.59,7010.66,6720.44,6831.37,6854.05,6987.13,6975.5,6797.35,6930.57,6791,6764.06,6873.39,6762.39,6873.52,6820.59,6968.69,6825.85,6819.66,7025.11,7032.73,6875.92,6971.55,7125.85,7129.14,6967.56,6983.34,6727.45,6967.04,6969.84,6867.81,7043.13,6966.16,6925.6,6678.29,6967.9,6675.99,6863.19,7055.47,6892.13,6974.23,7006.45
2025-04-10T00:51:00,6864.15,6974.94,6797.55,6781.6,7016.5,6947.3,7063.45,6949.51,6988.29,6796.3,7010.86,6718.26,6831.12,6853.25,6991.04,6974.62,6796.72,6930.06,6789.08,6762.45,6871.98,6762.1,6873.67,6819.48,6968.42,6826.5,6818.04,7024.59,7032.81,6876.29,6971.59,7126.14,7128.68,6966.84,6981.81,6726.35,6967.11,6969.44,6864.18,7041.65,6971.29,6925.02,6672.06,6967.62,6675.47,6861.07,7056.55,6895.8,6973.06,7004.78
2025-04-10T00:54:00,6864.57,6974.27,6798.06,6780.75,7014.65,6945.43,7064.02,6950.37,6987.24,6796.32,7009.1,6717.19,6831,6854.13,6988.38,6975.08,6795.89,6929.32,6788.78,6761.66,6871.3,6759.97,6873.69,6819.83,6967.11,6825.61,6817.64,7023.05,7030.81,6875.66,6970.96,7125.2,7128.98,6965.58,6981.44,6727.3,6966.3,6969.68,6861.16,7040.88,6966.51,6923.65,6675.52,6967.64,6675.54,6861.88,7055.11,6890.25,6972.72,7006.19
2025-04-10T00:57:00,6867.06,6973.84,6797.71,6780.19,7015.94,6946.07,7062.92,6948.07,6987.52,6797.43,7009.05,6715.36,6833.04,6853.59,6986.96,6974.47,6795.03,6929.61,6788,6761.24,6872.61,6759.09,6873.47,6818.12,6966.95,6825.23,6816.29,7022.09,7030.51,6875.26,6971.06,7124.1,7127.87,6965.08,6980.75,6728.18,6967.16,6972.36,6859.72,7040.48,6966.56,6922.34,6675.62,6971.08,6674.96,6862.52,7056.07,6889.33,6972.34,7005.69
