Timestamp,Camelina01 - Weight (g),Camelina02 - Weight (g),Camelina03 - Weight (g),Camelina05 - Weight (g),Camelina06 - Weight (g),Camelina07 - Weight (g),Camelina08 - Weight (g),Camelina09 - Weight (g),Camelina10 - Weight (g),Camelina11 - Weight (g),Camelina12 - Weight (g),Camelina13 - Weight (g),Camelina14 - Weight (g),Camelina15 - Weight (g),Camelina16 - Weight (g),Camelina18 - Weight (g),Camelina19 - Weight (g),Camelina20 - Weight (g),Camelina21 - Weight (g),Camelina22 - Weight (g),Camelina23 - Weight (g),Camelina24 - Weight (g),Camelina25 - Weight (g),Camelina26 - Weight (g),Camelina27 - Weight (g),Camelina28 - Weight (g),Camelina29 - Weight (g),Camelina30 - Weight (g),Camelina31 - Weight (g),Camelina32 - Weight (g),Camelina33 - Weight (g),Camelina34 - Weight (g),Camelina35 - Weight (g),Camelina36 - Weight (g),Camelina37 - Weight (g),Camelina38 - Weight (g),Camelina39 - Weight (g),Camelina40 - Weight (g),Camelina41 - Weight (g),Camelina42 - Weight (g),Camelina43 - Weight (g),Camelina44 - Weight (g),Camelina45 - Weight (g),Camelina46 - Weight (g),Camelina47 - Weight (g),Camelina48 - Weight (g),Camelina49 - Weight (g),Camelina50 - Weight (g)
2025-08-29T00:30:00,6924.63,6904.11,6922.1,6880.4,6962.45,6728.43,6907.27,6783.39,6960.73,6615.88,6991.3,6598.18,6996.84,6772.81,6973.31,6990.84,6977.09,6560.75,6766.76,6993.05,6772.39,6650.78,6700.36,6822.8,6836.85,6596.02,6981.75,6963.09,6922.33,6572.47,6817.05,6773.94,6806.41,6646.67,6982.14,6941.81,6991.24,6977.72,7040.86,6866.78,6770.08,6969.41,7015.03,6772.13,7055.85,6760.76,6553.39,6737.7
2025-08-29T00:33:00,6994.36,6950.46,6959.49,6945.71,7025.15,6799.03,6928.99,6844.63,7009.63,6692.76,7038.52,6662.76,7046.46,6856.83,7008.37,7048.11,7019.9,6627.26,6828.69,7050.46,6828.33,6719.51,6755.67,6903.89,6906.65,6668.95,7022.27,7013.54,6982.82,6647.14,6855.71,6820.04,6850.06,6708.72,7036.84,6977.79,7037.9,7024.72,7097.96,6917.26,6809.87,7023.61,7088.86,6851.22,7085.39,6805.59,6606.86,6793.15
2025-08-29T00:36:00,6949.23,6915.61,6934.87,6900.02,6972.3,6749.21,6911.15,6805.66,6975.43,6641.19,7008.78,6617.83,7013.04,6799.26,6986.87,7014.16,6990.46,6582.2,6784.82,7012.95,6791.2,6665.83,6715.75,6846.17,6857.79,6612.39,6992.64,6979.77,6940.76,6604.73,6834.73,6783.33,6817.56,6665.99,6996.68,6950.13,7001.45,6991.1,7062.29,6884.85,6785.87,6991.88,7039.98,6795.19,7065.32,6773.47,6568.56,6751.11
2025-08-29T00:39:00,6940.07,6910.87,6930.57,6895.75,6967.96,6743.6,6909.66,6799.4,6972.47,6633.38,7005.48,6615.18,7013.05,6791.12,6982.84,7005.99,6990.27,6575.52,6780,7008.83,6787.04,6661.94,6713.05,6834.91,6849.58,6605.49,6991.08,6977.38,6934.66,6593.94,6827.94,6780.6,6815.13,6660.85,6992.08,6949.27,7002.28,6987.86,7055.77,6884.74,6783.93,6983.66,7033.02,6785.74,7062.69,6769.87,6564.07,6746.4
2025-08-29T00:42:00,6937.95,6909.98,6929.03,6890.19,6964.33,6742.78,6909.57,6791.5,6969.7,6632.49,7001.13,6612.2,7012.03,6788.63,6983.77,7003.67,6987.99,6573.67,6776.68,7005.74,6786.57,6659.69,6709.55,6833.42,6845.92,6604.87,6991.17,6972.7,6931.87,6586.88,6827.48,6778.82,6811.99,6657.27,6988.34,6948.66,6996.15,6985.42,7052.26,6882.45,6782.34,6985.5,7029.66,6781.48,7065.45,6768.62,6562.25,6745.07
2025-08-29T00:45:00,6936.49,6909.36,6928.29,6890.23,6965.18,6741.11,6907.65,6792.41,6969.29,6628.69,7001.46,6612.28,7010.3,6786.37,6981.88,7000.61,6988.71,6571.79,6776.59,7004.86,6785.47,6662.96,6710.66,6831.75,6844.99,6601.98,6990.82,6971.11,6929.88,6585.63,6827.56,6780.73,6811.98,6657,6985.33,6948.45,6996.04,6985.23,7052.02,6882.45,6782.28,6980.3,7026.56,6782.39,7058.37,6767.09,6561.8,6742.96
2025-08-29T00:48:00,6942.4,6909.81,6929.46,6889.18,6965.57,6738.46,6908.84,6790.05,6969.01,6627.53,6999.13,6612.38,7009.56,6785.2,6989.12,6999.01,6987.79,6569.75,6773.59,7003.13,6784.66,6659.03,6709.86,6830.01,6843.24,6600.93,6988.69,6970.04,6928.68,6584.36,6823.66,6779.01,6810.29,6656.8,6985.23,6946.6,6995.84,6983.35,7047.15,6879.28,6782.26,6982.3,7025.39,6780.02,7057.55,6767.25,6561.99,6741.03
2025-08-29T00:51:00,6934.53,6909.7,6926.78,6887.35,6965.81,6737.99,6906.96,6790.22,6969.14,6624.7,6999.85,6612.23,7009.41,6783.99,6982.6,6998.38,6985.98,6569.65,6775.32,7002.11,6784.58,6657.48,6707.08,6828.48,6842.88,6600.68,6988.94,6967.62,6926.59,6584.29,6824.43,6778.63,6810.87,6653.53,6985.51,6947.74,6994.57,6982.71,7046.61,6876.75,6782.07,6978.63,7023.46,6779.12,7057.23,6766.74,6560.84,6741.62
2025-08-29T00:54:00,6930.51,6909.03,6926.47,6886.56,6964.06,6738.1,6907.93,6789.03,6968.48,6625.08,6998.08,6608.77,7009.46,6786.48,6982.56,6997.59,6986.25,6569.66,6775.46,7001.28,6783.3,6656.12,6708.64,6828.56,6842.29,6601.26,6987.47,6968.13,6926.99,6585,6824.51,6777.72,6810.43,6653.98,6984.33,6946.89,6993.63,6982.65,7046.41,6875.68,6778.77,6979.34,7023.35,6776.9,7055.95,6766.25,6559.48,6740.74
2025-08-29T00:57:00,6928.82,6908.52,6924.83,6885.09,6964.29,6736.75,6907,6789.85,6966.59,6622.38,6997.29,6608.88,7007.84,6784.13,6976.33,6996.94,6984.63,6566.8,6774.47,7000.93,6784.64,6655.71,6706.19,6828.44,6841.01,6601.76,6986.77,6966.35,6926.48,6581.68,6823.08,6778.56,6809.53,6653.05,6984.73,6946.18,6993.14,6981.31,7046.56,6874.89,6778.83,6976.12,7021.58,6775.52,7056.68,6764.33,6559.53,6741.06
