Timestamp,Camelina01 - Daily Transpiration (g),Camelina02 - Daily Transpiration (g),Camelina03 - Daily Transpiration (g),Camelina04 - Daily Transpiration (g),Camelina05 - Daily Transpiration (g),Camelina06 - Daily Transpiration (g),Camelina07 - Daily Transpiration (g),Camelina08 - Daily Transpiration (g),Camelina09 - Daily Transpiration (g),Camelina10 - Daily Transpiration (g),Camelina11 - Daily Transpiration (g),Camelina12 - Daily Transpiration (g),Camelina13 - Daily Transpiration (g),Camelina14 - Daily Transpiration (g),Camelina15 - Daily Transpiration (g),Camelina16 - Daily Transpiration (g),Camelina17 - Daily Transpiration (g),Camelina18 - Daily Transpiration (g),Camelina19 - Daily Transpiration (g),Camelina20 - Daily Transpiration (g),Camelina21 - Daily Transpiration (g),Camelina22 - Daily Transpiration (g),Camelina23 - Daily Transpiration (g),Camelina24 - Daily Transpiration (g),Camelina25 - Daily Transpiration (g),Camelina26 - Daily Transpiration (g),Camelina27 - Daily Transpiration (g),Camelina28 - Daily Transpiration (g),Camelina29 - Daily Transpiration (g),Camelina30 - Daily Transpiration (g),Camelina31 - Daily Transpiration (g),Camelina32 - Daily Transpiration (g),Camelina33 - Daily Transpiration (g),Camelina34 - Daily Transpiration (g),Camelina35 - Daily Transpiration (g),Camelina36 - Daily Transpiration (g),Camelina37 - Daily Transpiration (g),Camelina38 - Daily Transpiration (g),Camelina39 - Daily Transpiration (g),Camelina40 - Daily Transpiration (g),Camelina41 - Daily Transpiration (g),Camelina42 - Daily Transpiration (g),Camelina43 - Daily Transpiration (g),Camelina44 - Daily Transpiration (g),Camelina45 - Daily Transpiration (g),Camelina46 - Daily Transpiration (g),Camelina47 - Daily Transpiration (g),Camelina48 - Daily Transpiration (g),Camelina49 - Daily Transpiration (g),Camelina50 - Daily Transpiration (g)
2025-06-20T00:00:00,44.98,41.89,56.32,44.58,52.62,54.53,56.23,41.56,51.1,44.37,65.39,59.05,49.08,48.4,63.52,57.95,47.66,55.64,50.09,37.15,50.64,47.38,45.02,47.97,48.2,46.43,49.63,59.02,45.53,45.96,46.52,62.78,47.32,49.51,73.48,40.38,38.04,47.88,63.34,50.94,42.25,38.88,72.54,49.6,52.45,50.95,45.85,54.21,49.02,72.89
2025-06-21T00:00:00,30.12,22.53,35.94,27.97,35.66,28.03,35.14,30.87,31.53,32.54,33.62,34.1,28.75,32.62,37.84,34.88,33.83,34.99,38.5,20.96,37.64,29.76,35.53,31.96,25.56,37.18,32.89,38.16,31.84,33.45,27.75,33.3,34.02,30.81,47.19,33.75,31.95,35.6,37.68,31.96,32.43,35.83,57.36,29.98,32.6,39.45,39.21,38.27,31.84,43.38
2025-06-22T00:00:00,58.65,46.26,52.59,51.77,60.04,57.02,53.35,42.13,61.17,48.27,70.54,64.33,59.03,56.5,61.74,55.54,63.53,55.32,54.88,42.02,55.6,51.74,50.17,53.69,53.58,53.32,53.82,68.84,55.09,46.69,50.28,81.55,53.26,48.75,70.88,47.27,42.7,55.16,57.66,50.33,45.98,54.35,82.84,53.28,48.3,54.86,21.32,63.26,50.48,68.44
2025-06-23T00:00:00,54.45,44.37,49.84,50.62,58.84,54.97,51.81,38.12,58.12,46.81,68.08,62.31,54.86,52.92,59.3,55.7,61.49,51.45,51.59,42.87,54.55,51.26,47.51,50.71,47.93,51.66,50.35,70.37,53.54,44.97,49.64,73.45,51.02,46.62,49.13,45.76,44.41,50.96,54.5,45.67,44.12,52.55,77.19,53.65,49.21,53.34,70.22,60.91,49.81,53.34
2025-06-24T00:00:00,54.2,47.64,59.4,49.98,62.6,62.2,59.4,41.33,65.53,52.41,70.44,69.85,63.72,56.69,67.13,64.92,65.69,63.72,54.5,46.93,62.46,55.62,49.13,55.75,60.43,55.51,54.67,69.8,60.37,50.5,50.8,79.99,56.69,50.61,70.28,45.86,47.84,57.25,60.64,50.93,44.08,54.16,86,62.64,57.95,59.52,47.19,64.26,54.89,78.63
2025-06-25T00:00:00,53.3,51.2,66.44,54.03,62.25,70.08,69.41,50.39,66.75,56.38,82.03,72.53,61.01,54.88,76.35,74.24,67.02,68.56,61.64,52.7,62.19,65.43,47.06,52.33,56.73,56.24,61.68,71.22,56.5,57.12,51.61,83.73,56.46,57.54,80.5,45.75,47.86,54.49,68.23,60.74,50.27,55.32,84.69,61.19,67.55,61.67,52.3,64.5,58.75,91.24
2025-06-26T00:00:00,56.95,55.38,81.84,66.99,64.66,71.18,82.08,58.52,72.32,62.12,84.2,80.63,63.62,65.91,93.08,82.83,75.02,79.28,58.34,55.88,72.76,73.8,64.71,67.42,66.96,71.51,65.41,81.72,63.9,71.61,56.3,85.88,65.19,62.79,95.51,65.58,69.9,64.97,74.65,67.39,62.27,65.44,92.64,68.6,77.95,78.17,68.19,74.18,69.22,100.46
2025-06-27T00:00:00,43.41,47.13,75.15,54.85,58.18,61.4,73.02,45.45,62.07,52.85,73.11,69.69,56.7,54.43,83.6,76.28,52.04,70.43,58.74,45.78,62.29,62.8,57.74,55.03,56.98,55.83,54.22,66.77,50.56,61.1,48.72,69.3,51.45,54.81,81.01,55.82,49.36,52.02,61.61,62.48,53.57,58.41,74.91,60.67,69.98,68.9,58.97,62.36,62.16,92
2025-06-28T00:00:00,43.86,42.49,66.11,48.08,59.4,60.16,67.91,41.71,59.54,51.15,76.03,67.91,56.4,53.24,79.1,71.71,51.98,65.85,47.26,43.48,60.92,61.01,48.31,51.43,62.24,53.23,55.39,63.94,54.22,57.61,46.34,67.66,55.31,52.09,75.33,48.42,43.65,52.34,55.24,59.4,46.5,53.77,73.44,60.27,69.92,62.07,51.68,63.02,59.83,87.11
2025-06-29T00:00:00,39.94,41.42,67.61,47.22,52.35,56.35,66.48,37.91,54.67,47.03,67,64.38,52.76,52.24,78.1,68.45,59.32,65.21,49.14,40.98,58.89,57.39,48.78,50.99,60.23,52.96,52.85,62,48.74,56.4,48.53,65.91,52.77,53.51,70.34,47.08,42.47,47.99,54.34,57.74,43.77,49.76,55.36,55.64,67.3,62.13,53.6,55.82,58.29,81.25
