Timestamp,Camelina01 - Weight (g),Camelina02 - Weight (g),Camelina03 - Weight (g),Camelina04 - Weight (g),Camelina05 - Weight (g),Camelina06 - Weight (g),Camelina07 - Weight (g),Camelina08 - Weight (g),Camelina09 - Weight (g),Camelina10 - Weight (g),Camelina11 - Weight (g),Camelina12 - Weight (g),Camelina13 - Weight (g),Camelina14 - Weight (g),Camelina15 - Weight (g),Camelina16 - Weight (g),Camelina17 - Weight (g),Camelina18 - Weight (g),Camelina19 - Weight (g),Camelina20 - Weight (g),Camelina21 - Weight (g),Camelina22 - Weight (g),Camelina23 - Weight (g),Camelina24 - Weight (g),Camelina25 - Weight (g),Camelina26 - Weight (g),Camelina27 - Weight (g),Camelina28 - Weight (g),Camelina29 - Weight (g),Camelina30 - Weight (g),Camelina31 - Weight (g),Camelina32 - Weight (g),Camelina33 - Weight (g),Camelina34 - Weight (g),Camelina35 - Weight (g),Camelina36 - Weight (g),Camelina37 - Weight (g),Camelina38 - Weight (g),Camelina39 - Weight (g),Camelina40 - Weight (g),Camelina41 - Weight (g),Camelina42 - Weight (g),Camelina43 - Weight (g),Camelina44 - Weight (g),Camelina45 - Weight (g),Camelina46 - Weight (g),Camelina47 - Weight (g),Camelina48 - Weight (g),Camelina49 - Weight (g),Camelina50 - Weight (g)
2025-06-20T00:00:00,6841.45,6692.11,6665.9,7653.67,6635.68,7071.55,6783.66,6745.63,6716.48,7016.12,6822.14,7023.47,6911.5,6776.19,6827.92,6921.92,6770.81,6743.13,6757.06,6826.17,6684.09,6944.76,6780.16,6733.82,6637.08,6823.1,6797.06,7585.88,6802.48,6540.74,6954.17,6748.5,6673.64,6908.89,7358.74,6778.2,6750.69,6884.63,6866.16,6728.17,6794.58,6899.29,6641.27,6664.22,6607.55,6724.93,6886.73,6832.95,6598.36,6916.61
2025-06-20T00:03:00,6841.6,6691.77,6665.94,7653.86,6635.16,7070.39,6783.27,6744.38,6715.99,7015.07,6822.31,7022.88,6909.75,6775.85,6827.21,6922.05,6770.42,6740.88,6757,6826.9,6685.38,6944.25,6779.63,6733.37,6638.78,6823.69,6797.25,7585.78,6802.51,6541.85,6954.95,6749.3,6673.05,6910.29,7359.67,6777.41,6749.69,6884.9,6866.83,6728.49,6795.69,6899.21,6641.41,6663.32,6608.97,6724.88,6886.12,6832.77,6598.65,6920.03
2025-06-20T00:06:00,6841.75,6691.98,6668.22,7652.99,6635.98,7072.2,6784.51,6745.44,6716,7016.49,6821.85,7022.14,6910.76,6775.03,6827.02,6921.06,6770.84,6741.15,6756.63,6825.9,6684.08,6944.11,6779.28,6733.83,6636.96,6822.13,6796.75,7585.23,6802.77,6541.18,6954.58,6748.81,6673.92,6911.03,7362.48,6778.36,6749.75,6887.34,6866.1,6728.84,6795.14,6899.07,6641.28,6663.65,6607.77,6724.46,6886.21,6831.7,6598.64,6918.37
2025-06-20T00:09:00,6839.77,6692.24,6668.59,7652.34,6635.53,7071.12,6783.24,6744.69,6716.85,7014.97,6822.17,7022.94,6910.16,6775.63,6827.96,6922.11,6772.23,6739.26,6757.06,6826.1,6686.3,6943.64,6779.14,6734.09,6637.94,6821.81,6797.79,7585.97,6802.39,6541.09,6953.98,6750.03,6673,6911.27,7363.16,6778.11,6749.79,6884.27,6865.58,6728.28,6795.92,6899.73,6640.11,6663.38,6608.06,6724.71,6886.57,6833.65,6597.71,6919.49
2025-06-20T00:12:00,6840.67,6691.86,6667.13,7651.82,6635.31,7070.33,6783.61,6746.21,6715.56,7015.54,6821.73,7023.47,6909.93,6774.55,6826.98,6922.02,6775.08,6742.22,6755.74,6826.7,6683.95,6942.3,6777.43,6734.73,6636.29,6821.1,6796.94,7584.74,6801.75,6541.16,6955.28,6749.05,6672.82,6909.86,7362.33,6778.07,6749.87,6883.91,6866.44,6727.98,6795.97,6899.43,6641.61,6660.11,6607.41,6724.88,6885.96,6833.19,6598.01,6918.13
2025-06-20T00:15:00,6839.83,6691.48,6665.86,7652.93,6635.41,7071.34,6782.13,6746.13,6716.39,7015.6,6822.03,7022.92,6910.97,6774.63,6828.27,6922.28,6774.15,6741.03,6756.28,6827.24,6683.89,6943.05,6778.37,6735.34,6636.33,6821.25,6796.81,7585.12,6801.78,6541.2,6953.9,6748.6,6671.9,6908.41,7361.78,6777.34,6749.9,6883.68,6859.23,6728.79,6795.32,6899.54,6641.56,6659.33,6608.3,6724.81,6886.41,6833.51,6596.97,6917.91
2025-06-20T00:18:00,6839.54,6692.13,6667.87,7653.35,6635.17,7071.15,6784.31,6747.15,6716.14,7015.03,6823.3,7023.03,6910.61,6776.18,6826.73,6921.2,6774.49,6741.92,6754.88,6825.94,6683.73,6945.01,6778.29,6733.05,6638.21,6823.43,6797.19,7585.82,6803.4,6541.53,6954.21,6749.58,6672.93,6911.3,7361.33,6778.79,6752.07,6885.46,6862.88,6729.78,6795.97,6900.13,6639.93,6660.23,6608.07,6724.17,6885.87,6832.45,6598.36,6917.41
2025-06-20T00:21:00,6840.51,6692.27,6668.8,7653.33,6635.04,7071.19,6784.08,6747.07,6716.76,7013.69,6822.43,7022.87,6909.52,6775.62,6826.66,6921.12,6775.18,6738.99,6756.54,6826.14,6684.1,6944.34,6778.15,6731.78,6637.48,6820.76,6797.93,7585,6805.66,6541.49,6953.31,6750.63,6672.87,6912.05,7360.68,6777.72,6751.15,6882.9,6863.86,6729.22,6795.6,6898.6,6641.26,6658.39,6608.37,6724.73,6885.78,6831.06,6595.4,6918.29
2025-06-20T00:24:00,6841.08,6691.72,6668.01,7652.73,6635.13,7071.33,6782.96,6745.75,6716.66,7015.8,6822.59,7022.98,6907.54,6774.15,6827.93,6921.34,6774.28,6738.27,6754.33,6826.25,6683.79,6943.97,6777.23,6734.01,6636.57,6823.42,6797.27,7584.7,6806.62,6540.97,6955.27,6750.11,6672.8,6911.13,7359.41,6778.38,6750.54,6884.5,6862.87,6728.39,6795.52,6897.41,6640.98,6658.88,6608.15,6723.15,6886.37,6830.21,6597.76,6919.42
2025-06-20T00:27:00,6840.48,6691.34,6668.18,7652.34,6635.67,7072.54,6782.5,6745.02,6716.96,7015.23,6822.26,7023.16,6908.21,6774.7,6827.75,6922.71,6774.42,6740.06,6756.2,6826.58,6684.11,6942.59,6779.91,6734.63,6636.94,6822.94,6797.76,7585.9,6805.27,6540.61,6954.39,6749.9,6670.93,6907.84,7360.28,6777.37,6750.65,6883.49,6862.22,6728.36,6795.72,6895.87,6641.49,6660,6606.9,6724.64,6886.53,6829.13,6598.92,6916.34
